Term,Definition,Example
OpenCV,"An open-source computer vision library offering hundreds of optimized algorithms for image/video I/O, filtering, feature detection, and machine learning. It supports C++, Python, Java, and hardware acceleration for real-time applications.",Using OpenCV’s cv2.Canny() and cv2.findContours() in Python to detect and outline cells in microscope images.
OpenGL,"A cross-platform API for 2D/3D graphics rendering, used in visualization and GPU-accelerated image processing. Programmable shaders let you implement custom filters, transformations, and volume rendering.",Writing a GLSL fragment shader in OpenGL to apply a real-time Gaussian blur to a live camera feed in a graphics application.
optic nerve,The bundle of retinal ganglion cell axons that carries electrical visual signals from the eye to the brain’s visual cortex. Damage or disease affecting the optic nerve leads to vision loss patterns analyzed in medical imaging.,Simulating optic-nerve fiber loss on OCT scans to study glaucomatous damage progression.
optical flow,"A field of apparent motion vectors estimated between successive frames by analyzing intensity changes. Optical-flow methods (e.g., Lucas–Kanade, Farneback) support video stabilization, motion tracking, and action recognition.",Computing dense Farneback optical flow on dash-cam video to visualize and measure vehicle movement.
optical path,The product of physical distance traveled by light and refractive index along its trajectory through lenses or media. Optical-path differences create interference or phase shifts used in holography and interferometric imaging.,Designing a Mach–Zehnder interferometer to measure minute optical-path changes caused by temperature variations.
ORB (Oriented FAST & Rotated BRIEF),"A fast feature detector and descriptor that combines FAST keypoint detection with orientation-aware BRIEF descriptors. ORB is efficient, rotation-invariant, and suitable for real-time SLAM and image stitching.",Using OpenCV’s cv2.ORB_create() to detect and match keypoints between overlapping drone photos to create a mosaic.
output digitized image,The final digital image obtained after sampling (spatial quantization) and quantization (intensity discretization) of an analog source. This image is stored as a raster of pixels with bit-depth–defined values for processing and display.,Scanning a 35 mm film frame at 600 dpi to produce a 24-bit TIFF for archival and editing.
PCA,"Principal Component Analysis is a linear transform that projects high-dimensional data onto orthogonal axes of maximum variance. It reduces dimensionality and decorrelates features, often used for compression or preprocessing in vision tasks.",Applying PCA to reduce 128-dimensional SIFT descriptors to 32 dimensions before clustering for visual-vocabulary construction.
perceived intensity,"The subjective brightness an observer experiences, which follows a nonlinear relation to physical luminance (e.g., gamma curves). Vision models and display pipelines apply gamma correction to approximate human perceptual response.",Gamma-correcting a linear HDR image by applying a 1/2.2 exponent so midtones appear perceptually linear on an sRGB display.
PET scan,"Positron Emission Tomography is a functional imaging modality where injected radiotracers emit positrons that annihilate into gamma photons, which are detected to reconstruct metabolic activity maps. PET is widely used in oncology and neurology.",Segmenting a brain PET scan to highlight regions of elevated glucose uptake indicative of tumor activity.
photodiodes,"Semiconductor devices that convert incident photons into proportional electrical current. Linear over a wide dynamic range, photodiode arrays serve as sensors in scanners, spectrometers, and certain high-speed cameras.",Capturing document lines on a sheet-fed scanner by reading voltage outputs from a linear photodiode array.
photoreceptors,"Biological light-sensing cells in the retina—rods for low-light (scotopic) vision, cones for color (photopic) vision. Their spectral and spatial responses inform algorithms for adaptive tone mapping and color constancy.",Simulating rod and cone responses to design an image enhancement pipeline that preserves scotopic visibility.
Photoshop,"Adobe Photoshop is a widely used commercial application for raster-based image editing, compositing, color grading, and retouching. It offers layers, masks, filters, and scripting for creative and professional workflows.",Removing blemishes in a portrait by using Photoshop’s healing brush and layer-based dodge and burn adjustments.
piecewise-linear transformation,"Piecewise-linear transforms map intensity ranges to new values via multiple linear segments, enabling custom contrast adjustments. Examples include contrast stretching with controlled midrange mapping.","Mapping [0–80]→[0–50], [80–160]→[50–200], [160–255]→[200–255] to emphasize midtones."
PIL (Pillow),"Pillow is the friendly fork of the Python Imaging Library, providing Python APIs for opening, manipulating, and saving many image formats. Functions include resizing, cropping, filtering, and pixel-level access.",Using Pillow’s Image.resize() and Image.filter(ImageFilter.GaussianBlur) to batch-process and smooth a photo library.
Pixel,"The smallest addressable element in a digital image, representing a single color or gray-level sample. An image’s resolution and bit depth determine how many pixels and intensity levels it contains.","A 1920×1080 display has about 2.07 million pixels, each storing 8-bit values for red, green, and blue channels."
PNG,"Portable Network Graphics is a raster format supporting lossless compression and optional alpha transparency. PNG preserves exact pixel values, making it ideal for graphics, screenshots, and images requiring sharp edges or overlay compositing.",Exporting a web graphic with crisp text and semi-transparent logo elements as a .png file to maintain quality.
PNG file type,"Files with the .png extension adhere to the PNG specification, storing image data in chunks with zlib-based compression, color palettes, and metadata (gamma, ICC profiles). They are universally supported in browsers and editors.",Saving MATLAB plots to “figure.png” to embed in a report with transparent background and lossless detail.
point processing,"Point processing involves operations on individual pixels based solely on their original values. It includes identity, negative, thresholding, and basic intensity transforms.",Thresholding each pixel with T=128 to create a binary mask.
power law transformations,"Power law (gamma) transforms map input intensities using a power function s = c·r^γ, controlling brightness and contrast nonlinearly. They are fundamental in display calibration and image enhancement.","Using γ=0.5, c=255 to apply gamma correction and brighten a dim image."
primary colors,"Fundamental hues from which other colors are derived through mixing; they differ by medium. In additive systems, the primaries are red, green, and blue, while in subtractive (pigment) systems they are cyan, magenta, and yellow (with black added in CMYK).",Mixing RGB light at varying intensities on a screen versus combining cyan/magenta/yellow inks in print.
primary colors of light,"The additive primaries—red, green, and blue—whose combinations at different intensities span most perceivable colors. Display devices emit these to synthesize full-color imagery.","Calibrating a monitor so that equal intensities of R, G, and B channels produce a neutral gray or white."
primary colors of pigment,"The subtractive primaries—cyan, magenta, and yellow—absorb (subtract) complementary light wavelengths when mixed on paper. Black (key) ink is often added to improve contrast and depth (CMYK process).","Designing a brochure in CMYK where cyan, magenta, yellow, and black separations are generated for press plates."
Python,"A high-level, interpreted language with readable syntax and a rich ecosystem (NumPy, SciPy, OpenCV) for numerical computing and rapid prototyping of image-processing and vision algorithms.",Writing a Python script using OpenCV’s cv2.VideoCapture() to read webcam frames and display edge-detected output.
PyTorch,An open-source deep learning framework featuring dynamic computation graphs and GPU acceleration. PyTorch integrates with TorchVision to provide pretrained models and utilities for vision research and deployment.,Fine-tuning a ResNet-50 in PyTorch on a custom medical-image dataset for tumor classification.
quantity domain,"The set of permissible values a variable can assume—e.g., pixel intensities in an image. Digital images have discrete quantity domains determined by bit depth (e.g., 0–255 for 8-bit channels).",Converting a floating-point HDR image into an 8-bit PNG by clamping values into the 0–255 domain.
quantization,"Mapping continuous signal values (spatial position or intensity) to a finite set of discrete levels, introducing quantization noise. In imaging, quantization occurs in analog-to-digital conversion and color depth reduction.",Reducing a 16-bit raw image to 8-bit JPEG by quantizing each channel to 256 levels.
radio band,"Portions of the electromagnetic spectrum from kHz to GHz frequencies, used in radar remote sensing and wireless data transmission. Radar imaging leverages radio wavelengths to penetrate clouds and map terrain or moisture.",Processing C-band SAR data from a Sentinel-1 satellite to monitor flood extents in rainy conditions.
Ranger 7 probe,NASA’s 1964 lunar probe that transmitted the first clear close-up TV images of the Moon’s surface before impact. Analog video frames were later digitized for scientific study of lunar geology.,Converting Ranger 7’s analog lunar TV frames into digitized TIFFs to analyze crater morphology.
RAW file type,"A minimally processed camera file format that stores sensor readings with full bit depth and metadata, enabling maximum flexibility in post-capture adjustments. RAW files require special software to demosaic, color correct, and tone-map.","Importing a Nikon .NEF RAW file into Lightroom to adjust exposure, white balance, and highlight recovery non-destructively."
real-time ALPR system,"An Automated License Plate Recognition pipeline that captures video frames, detects plate regions, segments characters, and applies OCR at video-rate speeds. ALPR integrates detection, segmentation, and recognition modules for live monitoring.",Deploying a highway toll-collection camera that reads license plates at 30 fps to automate billing and law enforcement.
ResNet,"A convolutional neural network architecture that uses residual (skip) connections to enable training of very deep networks by mitigating vanishing gradients. ResNet variants (e.g., ResNet-50) serve as powerful feature extractors in transfer learning.",Using a ResNet-50 pretrained on ImageNet to extract 2048-dimensional features for a downstream classification task.
ResNet-152,"A deeper ResNet model with 152 layers, providing enhanced representational capacity and improving accuracy on large datasets at the expense of increased computation and memory.",Benchmarking ResNet-152 vs. ResNet-50 on fine-grained bird species recognition to assess trade-offs between accuracy and speed.
resolution,"The amount of spatial detail an imaging system can capture, measured in pixels (e.g., 3840×2160) or optics as line pairs per millimeter (lp/mm). Higher resolution yields finer detail but increases data size and processing cost.",Choosing a 4K (3840×2160) camera for aerial mapping to resolve small features in urban environments.
retina,The light-sensitive neural layer at the back of the eye containing rods and cones; it transduces photons into electrical signals that travel via the optic nerve. The retina’s nonuniform cell density (fovea vs. periphery) inspires foveated imaging models.,Implementing foveated rendering that increases sampling density around a user’s gaze tracked by an eye-tracker.
RGB,"An additive color model representing images as three channels—red, green, and blue—each typically 8 bits deep. Color display devices combine these primaries at varying intensities to reproduce a wide gamut.","Storing a photo as a 24-bit bitmap where each pixel has 8-bit R, G, and B values."
RGBA,"An extension of RGB that adds an alpha channel for per-pixel transparency, enabling blending and compositing effects. The alpha value ranges from 0 (transparent) to 255 (opaque) in 8-bit images.",Overlaying a semi-transparent RGBA PNG sprite onto a game background to render shadows and effects.
RNNs,"Recurrent Neural Networks are architectures with cyclic connections that allow information persistence across sequence steps, suitable for video and time-series modeling. Variants include LSTM and GRU, which address gradient-vanishing challenges.",Training an LSTM-based RNN on frame-level embeddings to predict future frames in a surveillance video.
rods,"Photoreceptor cells in the retina that are highly sensitive to low light, enabling scotopic (night) vision but lacking color discrimination. Rod response models inform algorithms for enhancing dark or infrared imagery.",Enhancing night-vision footage by simulating rod sensitivity curves to boost low-light contrast without color artifacts.
ROI cropping,Extracting a rectangular region of interest from an image to focus processing on relevant areas and reduce computational load. ROI cropping is a standard preprocessing step in detection and recognition pipelines.,Cropping the region around a detected face before passing it to a facial-landmark estimator to speed up the network.
rotating drum scanners,"High-resolution scanners that wrap documents around a precision drum and use a rotating sensor bar to capture images with uniform motion and lighting. They achieve very high DPI and geometric accuracy for maps, technical drawings, and archival materials.",Digitizing large engineering blueprints at 2400 dpi on a rotating drum scanner to ensure precise line reproduction
salt and pepper noise,"Salt and pepper noise randomly sets pixels to extreme low or high values, appearing as white and black speckles. It is a type of impulse noise often caused by faulty data transmission.",Adding salt-and-pepper noise at 2% density to test median filter performance.
sampling,"The conversion of a continuous signal or scene into discrete measurements at regular spatial or temporal intervals. In imaging, sampling defines how continuous light intensity is captured as an array of pixels; proper sampling rate avoids aliasing and preserves detail.",Scanning a film negative at 600 dpi so that each one-hundredth-inch in the original maps to one pixel in the digital image.
saturation component,"In color models like HSI or HSV, saturation measures the purity or intensity of a hue, ranging from 0 (gray) to 1 (fully vivid). Adjusting saturation changes how “washed out” or “rich” colors appear without altering brightness or hue.",Increasing the saturation component of a photograph in Photoshop to make the reds and blues more vibrant without affecting luminance.
scene element,"A distinct object or region in an image—such as a person, vehicle, or building—that constitutes part of the visual scene. Identifying scene elements is a key step in recognition and understanding tasks to parse complex imagery into meaningful parts.","Detecting and labeling cars, pedestrians, and traffic lights as scene elements in an autonomous-driving camera feed."
scene understanding,"High-level interpretation of an image or video that goes beyond detecting objects to infer relationships, context, and intent—combining semantics, geometry, and sometimes language. It underpins applications like autonomous navigation and robotics by building a coherent model of the environment.","An autonomous drone’s system analyzing a warehouse scene to recognize shelves, forklifts, and human workers, then planning safe flight paths."
scikit-image,"A Python library built on NumPy and SciPy that provides a collection of image-processing algorithms, including filtering, morphology, segmentation, and geometric transformations. It emphasizes readability, ease of use, and integration with the scientific Python stack.",Using skimage.filters.sobel to compute the edge magnitude of a grayscale image before segmentation.
SciPy,"An open-source Python library for scientific computing that includes the scipy.ndimage submodule offering functions for filtering, interpolation, and morphological operations on N-dimensional images. It complements NumPy and integrates well with other Python imaging tools.",Applying scipy.ndimage.gaussian_filter to smooth a noisy microscopy image as a preprocessing step.
secondary colors,"Colors produced by mixing two primary colors. In additive (light) systems, red+green yields yellow, green+blue yields cyan, and red+blue yields magenta. In subtractive (pigment) systems, cyan, magenta, and yellow are the secondaries used in printing.",Combining red and blue light on an LED screen to produce magenta in a graphical effect.
segmentation,"The process of partitioning an image into meaningful regions or objects based on attributes like color, intensity, or texture. Segmentation can be semantic (class-based), instance (object-based), or panoptic (both), and is foundational for tasks like object recognition and medical analysis.",Using Otsu’s thresholding to segment cells from the background in a stained microscope slide image.
segmentation,"Segmentation partitions an image into regions or objects based on criteria like intensity, texture, or edge continuity. It is the first step in many vision tasks, separating foreground from background.",Using Otsu’s thresholding to segment cells from microscope imagery.
semi-supervised learning,"A machine-learning paradigm that leverages a small amount of labeled data together with a larger pool of unlabeled data to improve model performance, often through consistency regularization or pseudo-labeling. It reduces annotation burden while maintaining accuracy.",Training an image classifier with 1 000 labeled images and 10 000 unlabeled images by assigning pseudo-labels to the unlabeled set during training.
sharpening,"Enhancing edge contrast and fine details by boosting high-frequency components in the image spectrum. Common methods include unsharp masking, high-pass filtering, and Laplacian operators; sharpening improves perceived clarity but can amplify noise.","Applying unsharp masking (radius=2 px, amount=1.2) in Photoshop to make the texture of fabric stand out in a product photo."
sharpening filters,"Sharpening filters enhance edges and fine details by amplifying high-frequency components. Common examples include Laplacian, unsharp masking, and highpass kernels.","Applying unsharp masking (Gaussian blur radius=2, amount=1.2) to bring out text details."
Shi-Tomasi,"A corner-detection algorithm that improves on Harris by selecting points where the smaller eigenvalue of the local gradient covariance matrix exceeds a threshold. It yields robust, well-distributed keypoints under rotation and illumination changes.","Using OpenCV’s goodFeaturesToTrack with the Shi-Tomasi criterion (qualityLevel=0.01, minDistance=10) to detect corners in a building facade."
SIFT (Scale-Invariant Feature Transform),"An algorithm that detects keypoints invariant to scale and rotation by identifying extrema in Difference-of-Gaussians scale space, then computing 128-dimensional gradient-orientation descriptors. SIFT features are robust to affine distortions and illumination changes.",Matching two photos taken from different viewpoints of a sculpture by extracting and matching SIFT descriptors to compute the relative pose.
SIFT keypoints,"Scale-space extrema of the Difference-of-Gaussians that represent distinctive image locations (blobs, corners) at multiple scales. Each keypoint is characterized by its position, scale, and orientation, making it stable under various transformations.",Detecting ~500 SIFT keypoints on a natural scene image; visualizing them as circles whose radius encodes scale and a line indicates orientation.
smoothing filters,"Smoothing filters reduce noise and detail by averaging, median, or Gaussian operations within a neighborhood. They attenuate high frequencies while preserving larger structures.",Using a Gaussian filter (σ=1) to gently blur a portrait background.
Sobel,A discrete differentiation operator that computes approximate horizontal and vertical gradients by convolving the image with two 3×3 kernels. Sobel’s smoothing in one direction improves noise robustness; combining gradients yields edge magnitude and direction.,Applying cv2.Sobel in Python to extract the gradient magnitude of a road scene before thresholding to detect lane markings.
sobel filters,Sobel filters compute approximate first derivatives in horizontal and vertical directions using 3×3 kernels. They produce two gradient images that can be combined into edge magnitude and orientation.,Convolving an image with Sobel X and Y to detect road lane edges in driver-assist systems.
spatial differentiation,"Spatial differentiation computes image derivatives in the x and/or y directions to detect edges and transitions. First-order gives gradients, second-order highlights zero crossings.",Computing the Laplacian (second derivative) after Gaussian smoothing to find blobs.
spatial domain,The spatial domain refers to the image plane where pixel intensities are directly manipulated. Operations like convolution and neighborhood statistics occur here.,Directly applying a 5×5 sharpening kernel to enhance printed text scans.
spatial filtering,Spatial filtering applies a kernel or mask directly to image pixels in the spatial domain. It includes both linear (convolution) and nonlinear (median) methods.,Running a 3×3 median filter to remove salt-and-pepper specks from a scanned photo.
spatial first derivative,"The spatial first derivative approximates the gradient of intensity, indicating rate and direction of change. It is used for edge detection with operators like Sobel or Prewitt.",Using Prewitt operator to compute Gx and Gy for detecting object contours.
spatial resolution,"The smallest spatial detail that can be resolved by an imaging system, often expressed in pixels per inch (ppi), dots per inch (dpi), or line pairs per millimeter (lp/mm). Higher spatial resolution captures finer structures but increases data size and processing load.",Using a satellite sensor with 0.5 m ground sampling distance (GSD) to resolve vehicles in aerial imagery.
spatial second derivative,"The spatial second derivative measures the rate of change of the gradient (Laplacian), detecting points where intensity changes most abruptly. It is sensitive to noise and often preceded by smoothing.",Applying Laplacian of Gaussian (LoG) to detect circular features in cell images.
specialized image hardware,"Dedicated devices—such as GPUs, FPGAs, DSPs, and ASICs—designed to accelerate image-processing and computer-vision operations with massive parallelism, low latency, and efficient power use. They offload compute from general-purpose CPUs for real-time performance.",Running a ResNet inference engine on an NVIDIA Jetson Xavier module to achieve 30 fps object detection on a drone.
supervised learning,"A learning approach in which a model is trained on input–output pairs (features and labels) to learn a mapping from data to target outputs. It underlies most classification and regression tasks, requiring annotated datasets for training and validation.",Training a CNN on a dataset of labeled face images to recognize identities in a security application.
supervised learning pipeline,"A structured workflow that orchestrates data collection, labeling, preprocessing, feature extraction or augmentation, model training, hyperparameter tuning, validation, and deployment for supervised-learning tasks. It ensures reproducibility and scalability in production systems.","Building a pipeline that reads images from storage, augments them, trains a TensorFlow model, evaluates on a hold-out set, and exports the best checkpoint for serving."
SURF (Speeded-Up Robust Features),A fast interest-point detector and descriptor that approximates Hessian-matrix blob detection with integral images and computes orientation-invariant descriptors based on Haar wavelet responses. SURF offers similar robustness to SIFT with improved speed.,Using OpenCV’s xfeatures2d.SURF_create to match keypoints between frames for real-time panorama stitching.
SVG file type,"Scalable Vector Graphics is an XML-based vector format where images are defined by geometric primitives (paths, shapes, text) and styling attributes. SVGs are resolution-independent, easily editable, and ideal for diagrams, logos, and web graphics.",Exporting a flowchart from Inkscape as diagram.svg so it can scale without quality loss on a website.
SVMs,Support Vector Machines are supervised classifiers that find the hyperplane maximizing the margin between classes in feature space. They can be extended with kernel functions to handle non-linear separations and are effective for small- to mid-sized datasets with well-engineered features.,Training an RBF-kernel SVM on HOG descriptors of pedestrian patches to classify “person” vs. “background” in a surveillance system.
television band,Portions of the radio-frequency spectrum—VHF (30–300 MHz) and UHF (300 MHz–3 GHz)—allocated for analog and digital TV broadcasting. These bands also influence wireless camera links and interference considerations in video transmission systems.,"Using a UHF wireless video transmitter at 2.4 GHz to send drone footage to a ground station, avoiding TV-broadcast channels."
TensorFlow,"An open-source framework by Google for building and training machine-learning and deep-learning models using dataflow graphs. TensorFlow supports CPUs, GPUs, TPUs, and provides high-level APIs (Keras) alongside lower-level control for research and production.",Defining and training a U-Net in TensorFlow 2.x for medical-image segmentation of brain MRI scans.
TensorRT,"NVIDIA’s high-performance deep-learning inference SDK that optimizes trained models via layer and precision fusion, dynamic tensor memory, and hardware-specific kernels to maximize throughput and minimize latency on GPUs.",Converting a TensorFlow-trained SSD-Mobilenet model to a TensorRT engine to achieve real-time object detection on an NVIDIA DGX.
three-dimensional image,"Volumetric data represented as a 3D grid of voxels (volume pixels), capturing internal structure in modalities like CT, MRI, or 3D reconstructions from multiple views. True 3D images enable analysis along any plane or rendering of isosurfaces.",Visualizing a 512×512×256 CT volume of a human thorax in a 3D viewer for surgical planning.
thresholding,Thresholding converts a grey-level image to binary by comparing each pixel to a cutoff value. It segments objects from background when intensities are distinct.,Converting an aerial image to black/white using T=128 to separate buildings from roads.
TIFF file type,"Tagged Image File Format is a flexible container that supports multiple pages, high bit depths (8–32 bits/channel), lossless compression, and extensive metadata tags, making it a standard for scientific imaging and archiving.","Saving high-dynamic-range microscopy data as a 16-bit, multipage TIFF stack for downstream analysis in ImageJ."
time domain,"A representation of signals or image sequences in terms of variation over time. Video processing and temporal filtering operate in the time domain to detect motion, flicker, or temporal patterns before or after conversion to frequency or other domains.",Analyzing frame-to-frame intensity changes to detect flicker in a time-lapse video of plant growth.
tomography,"A technique that reconstructs cross-sectional images from projection data acquired at multiple angles around an object, using algorithms like filtered backprojection or iterative reconstruction. Tomography is the basis of CT, PET, and electron tomography.",Performing a CT reconstruction of a small animal by processing 360 X-ray projections around its axis with filtered backprojection.
traditional computer vision pipeline,"A pre-deep-learning workflow consisting of image acquisition, low-level filtering, mid-level feature detection (edges, corners), geometric modeling, and rule-based decision logic. These handcrafted steps rely on explicit algorithms rather than learned representations.","Detecting lane lines by smoothing with a Gaussian filter, applying Canny edges, using Hough transform to find lines, and filtering by slope."
traditional computer vision techniques,"Handcrafted algorithms—thresholding, morphological ops, template matching, feature descriptors (SIFT, HOG)—that process images via explicit rules and mathematical formulas. They often require domain expertise and parameter tuning, contrasting with end-to-end learned methods.",Using normalized cross-correlation to template-match and locate a company logo in scanned documents.
traditional neural network,"Early artificial neural networks with only a few layers (shallow architectures) composed of fully connected perceptrons. They lack spatial invariance and deep hierarchical feature learning, limiting performance on complex vision tasks before the advent of deep learning.",Training a three-layer perceptron on raw pixel vectors for simple digit recognition on the MNIST dataset with ~92% accuracy.
transmission electron microscopy,"An imaging modality where a focused beam of high-energy electrons is transmitted through an ultrathin specimen, interacting with atomic structures to form high-resolution images down to the subnanometer scale. TEM reveals internal morphology and crystal structures.",Capturing ultrastructural details of virus particles at 1 nm resolution in a biological research lab.
two-dimensional image,"A planar grid of pixels indexed by two spatial coordinates (rows and columns), representing intensity or color values at discrete positions. The vast majority of digital photographs and video frames are 2D images stored in formats like PNG or JPEG.",Displaying a 1920×1080 RGB JPEG photograph on a monitor as a 2D array of 8-bit color pixels.
ultrasound,"A real-time imaging modality that sends high-frequency sound waves into the body and measures echoes to form cross-sectional or Doppler images. Ultrasound is safe, portable, and widely used in obstetrics, cardiology, and industrial non-destructive testing.",Using a 5 MHz linear ultrasound probe to visualize fetal anatomy during prenatal checkups.
ultraviolet band,"The portion of the spectrum from roughly 10 nm to 400 nm, used in UV-enhanced imaging and fluorescence microscopy to reveal material properties and biological structures invisible under visible light. UV imaging often requires specialized sensors and filters.",Capturing UV fluorescence of plant leaves under 365 nm illumination to map stress-induced chlorophyll changes.
Unix,"A family of multitasking, multiuser operating systems known for stability, security, and scripting capabilities. Unix and its derivatives (Linux, macOS) are popular platforms for developing and deploying image-processing and vision applications on workstations and servers.",Running a Python-based image-analysis pipeline on a Linux cluster with Slurm for batch processing of satellite imagery.
unsharp masking,Unsharp masking sharpens an image by subtracting a blurred (unsharp) version from the original and adding a scaled difference back. It emphasizes edges without extreme boosts that cause noise amplification.,Using kernel size=5 and amount=1.5 to sharpen a landscape photo without over-boosting noise.
unsupervised learning,"A learning paradigm where models infer patterns or structures from unlabeled data, performing tasks such as clustering, density estimation, or dimensionality reduction. Unsupervised methods are valuable for exploring unknown datasets or pretraining representations.",Applying K-means to cluster texture patches into distinct material categories for later manual annotation
VGG16,"A convolutional neural network architecture developed by the Visual Geometry Group at Oxford, featuring 16 weighted layers with small (3×3) convolution kernels and deep, uniform structure. It excelled in ImageNet classification and popularized very deep networks for transfer learning.",Using a pretrained VGG16 to extract 4096-dimensional feature vectors from photographs for clustering similar images.
video stabilization,The process of reducing unwanted camera shake and jitter in video by estimating global inter-frame motion and applying corrective transforms or cropping. Stabilization yields smoother playback and more professional footage.,A smartphone app that crops and warps each frame based on estimated camera motion to produce a shake-free vacation video.
video tracking,"Continuously locating and following one or more objects across successive video frames by combining detection, motion estimation, and data association. It underpins surveillance, sports analytics, and autonomous navigation.",Tracking each player on a basketball court in broadcast footage to generate movement heatmaps and performance statistics.
VIIRS instruments,"The Visible Infrared Imaging Radiometer Suite aboard NOAA and Suomi-NPP satellites, capturing high-resolution day/night imagery across multiple spectral bands for weather forecasting, environmental monitoring, and night-light studies.",Generating global night-time light maps from VIIRS Day/Night Band data to analyze urbanization and energy use trends.
virtual reality,"An immersive technology that renders a computer-generated, stereoscopic 3D environment, tracked by head-mounted displays and controllers to allow interactive exploration and manipulation of virtual scenes.",A VR training simulator for firefighters that responds to user movements and renders dynamic smoke and heat effects in real time.
visible band,The portion of the electromagnetic spectrum (~400–700 nm) detectable by the human eye and standard digital cameras. Imaging in this band captures natural colors and contrast under ambient or artificial illumination.,Calibrating a DSLR’s white balance using a Macbeth color checker under daylight to ensure accurate visible-band color capture.
vision specialist,"A professional with expertise in image processing and computer vision algorithms who designs, implements, and optimizes systems for tasks like detection, recognition, and analysis across industries.",Hiring a vision specialist to develop a machine-vision inspection system that rejects defective parts on an assembly line.
watermarking,"Embedding visible or imperceptible patterns—often in frequency or spatial domains—into images or video to assert ownership, track distribution, or detect tampering. Robust schemes survive common processing like compression.",Inserting an invisible spread-spectrum watermark into stock photos so unauthorized copies can be traced online.
watershed algorithm,"A segmentation approach that treats gray levels as topography and simulates flooding from marker points until watersheds meet, delineating catchment basins. Marker-controlled variants prevent over-segmentation by guiding flood sources.",Separating touching cell nuclei in a microscopy image by placing foreground and background markers and running watershed.
WebP file type,"An image format by Google using VP8-based compression for both lossy and lossless modes, supporting transparency and animation with smaller file sizes than JPEG or PNG. It’s widely adopted for web graphics to speed up page loads.",Saving icons and illustrations as .webp files to reduce website bandwidth while preserving visual fidelity.
weighted smoothing filters,Weighted smoothing filters assign different weights within a neighborhood—often Gaussian—to emphasize closer pixels during averaging. They offer better edge preservation than uniform averaging.,Convolving with a 5×5 Gaussian kernel so centre pixels contribute more to the average.
Wiener deconvolution,A restoration filter that inverts known blur (point-spread function) in the frequency domain while balancing noise amplification via a signal-to-noise ratio parameter. It achieves optimal trade-off between deblurring and noise suppression.,Restoring a motion-blurred image by applying Wiener deconvolution with an estimated linear blur kernel and known noise level.
Windows,"Microsoft’s dominant desktop operating system, providing extensive APIs (Win32, DirectX) and hardware support for image-processing and vision applications. It integrates with libraries like OpenCV, DirectML, and CUDA for accelerated computing.",Building a C# WPF application on Windows that uses EmguCV to detect and annotate faces in webcam streams.
x-ray band,"Electromagnetic radiation with wavelengths roughly 0.01–10 nm, used in medical imaging (radiography, CT) and nondestructive testing. X-ray imaging relies on differential absorption by materials to reveal internal structures.",Reconstructing bone fractures from digital x-ray radiographs in a hospital’s PACS system for diagnostic review.
YCbCr color space,"A digital color model separating luminance (Y) from chrominance (Cb, Cr), enabling chroma subsampling (e.g., 4:2:0) for efficient video compression and broadcast standards while preserving perceived detail in the luminance channel.",Encoding a Blu-ray video stream in YCbCr 4:2:0 format to reduce bandwidth by halving color resolution without grayscale loss.
YIQ color space,"The analog TV color model used in NTSC broadcasts, where Y is luminance and I (in-phase) and Q (quadrature) encode chrominance. It optimizes bandwidth by allocating more resolution to luminance, matching human visual sensitivity.",Simulating NTSC signal quality by converting RGB test images to YIQ and back to assess chroma fidelity on legacy TVs.
YOLO,"“You Only Look Once” is a family of real-time object detectors that predict bounding boxes and class probabilities in a single neural network pass. Its unified architecture offers high speed with competitive accuracy, ideal for live detection tasks.",Running YOLOv5 on a Jetson Nano to detect and label traffic signs in a live roadside camera feed at 25 fps.
